Start Year,Disaster Type,Events,Total Affected,Total Deaths
1980,Drought,8,8495000,0
1980,Storm,1,7000,25
1981,Drought,5,7330000,103000
1981,Flood,7,657235,177
1981,Storm,2,119850,107
1982,Drought,8,2237300,0
1982,Flood,6,667514,229
1982,Storm,4,104722,95
1983,Drought,15,34423000,450500
1983,Flood,3,137000,0
1983,Storm,4,44163,86
1984,Drought,4,3220000,0
1984,Flood,3,5970,54
1984,Storm,8,1588215,383
1984,Wildfire,1,0,0
1985,Drought,1,500000,0
1985,Flood,11,1114972,104
1985,Storm,2,35000,2
1985,Wildfire,1,1500,4
1986,Drought,1,850000,0
1986,Flood,3,36723,23
1986,Storm,1,84309,99
1987,Drought,6,12987267,1017
1987,Flood,3,195000,524
1987,Storm,4,57714,65
1988,Drought,7,3553500,200
1988,Flood,16,3163247,450
1988,Storm,4,15307,161
1989,Drought,4,8860000,237
1989,Flood,12,1369391,89
1989,Storm,5,66114,57
1990,Drought,6,8066900,0
1990,Extreme temperature,1,1000000,0
1990,Flood,7,692368,315
1990,Storm,1,0,2
1991,Drought,9,22652000,0
1991,Flood,6,2150422,522
1991,Storm,3,257800,40
1991,Wildfire,1,0,5
1992,Drought,4,7431500,0
1992,Extreme temperature,1,0,18
1992,Flood,1,2258,21
1993,Drought,3,2346507,0
1993,Flood,10,284705,111
1993,Storm,4,17397,24
1994,Drought,1,1200000,0
1994,Flood,18,1166881,1085
1994,Storm,8,3048851,490
1994,Wildfire,1,0,22
1995,Drought,4,1811994,0
1995,Extreme temperature,1,0,32
1995,Flood,20,1269725,1246
1995,Storm,2,2775,0
1995,Wildfire,1,85,0
1996,Drought,4,3342000,0
1996,Extreme temperature,2,0,52
1996,Flood,17,674618,328
1996,Storm,5,300200,37
1997,Drought,6,3077100,0
1997,Flood,18,3351704,3022
1997,Storm,4,600060,192
1997,Wildfire,1,0,0
1998,Drought,8,236700,12
1998,Flood,21,3274039,272
1998,Storm,1,160,18
1998,Wildfire,3,1500,75
1999,Drought,8,32719545,206
1999,Flood,34,1491549,395
1999,Storm,10,146623,327
1999,Wildfire,1,3005,4
2000,Drought,3,3431290,21
2000,Extreme temperature,2,105,3
2000,Flood,32,5713013,1168
2000,Storm,10,1119513,188
2000,Wildfire,2,1255,0
2001,Drought,12,12554558,58
2001,Flood,35,2852576,1586
2001,Storm,6,5941,18
2001,Wildfire,2,0,31
2002,Drought,10,5943435,588
2002,Extreme temperature,1,0,60
2002,Flood,30,1013989,482
2002,Storm,13,645636,88
2002,Wildfire,2,2250,4
2003,Drought,5,15619500,9
2003,Extreme temperature,1,0,40
2003,Flood,39,1436730,420
2003,Storm,11,217252,152
2004,Drought,5,17779000,80
2004,Extreme temperature,1,113,13
2004,Flood,26,806738,267
2004,Storm,7,1055108,412
2004,Wildfire,1,777,0
2005,Drought,12,20714000,149
2005,Flood,32,734409,397
2005,Storm,7,14537,127
2006,Drought,3,3757000,0
2006,Flood,55,2118615,1466
2006,Storm,5,89622,8
2007,Drought,6,4067750,0
2007,Extreme temperature,1,0,22
2007,Flood,64,5057559,936
2007,Storm,8,389016,109
2007,Wildfire,4,3505,36
2008,Drought,9,17942500,4
2008,Flood,46,1015523,525
2008,Storm,10,762240,129
2008,Wildfire,2,3048,83
2009,Drought,5,20980000,0
2009,Flood,45,2588355,656
2009,Storm,12,155829,48
2009,Wildfire,1,125,0
2010,Drought,6,7765876,20000
2010,Flood,52,4402477,639
2010,Storm,6,203202,200
2010,Wildfire,1,2770,8
2011,Drought,12,26173194,0
2011,Flood,44,1446429,672
2011,Storm,9,123508,120
2012,Drought,8,12973900,0
2012,Extreme temperature,1,7500,0
2012,Flood,29,9335212,852
2012,Storm,11,471842,160
2013,Drought,2,5080000,0
2013,Flood,34,2280876,731
2013,Storm,6,201873,216
2013,Wildfire,2,5016,1
2014,Drought,5,6795326,0
2014,Flood,20,950022,507
2014,Storm,6,131112,67
2015,Drought,9,30331228,0
2015,Extreme temperature,2,66,126
2015,Flood,30,2762968,981
2015,Storm,10,222075,192
2015,Wildfire,1,57003,3
2016,Drought,6,11641000,0
2016,Extreme temperature,2,750020,11
2016,Flood,32,1289529,826
2016,Storm,4,37272,97
2017,Drought,8,16561874,0
2017,Extreme temperature,3,1775000,0
2017,Flood,22,1450141,312
2017,Storm,10,1317109,400
2017,Wildfire,2,7500,9
2018,Drought,3,1226600,0
2018,Extreme temperature,1,70000,0
2018,Flood,29,3475674,735
2018,Storm,7,506931,152
2019,Drought,7,6983000,0
2019,Extreme temperature,1,125025,8
2019,Flood,57,4811312,971
2019,Storm,11,4583605,1306
2019,Wildfire,1,12,50
2020,Drought,9,26089316,0
2020,Flood,66,8127127,1286
2020,Storm,5,137110,33
2021,Drought,8,39033941,0
2021,Flood,34,2811656,369
2021,Storm,11,618389,66
2021,Wildfire,2,43503,90
2022,Drought,14,100839820,2465
2022,Flood,45,7399842,2169
2022,Storm,16,2325406,384
2022,Wildfire,2,36768,44
2023,Drought,3,4036049,0
2023,Flood,40,11559509,4159
2023,Storm,14,5529821,14688
2023,Wildfire,1,30026,34
2024,Drought,5,27955000,0
2024,Extreme temperature,1,0,21
2024,Flood,41,12075270,2717
2024,Storm,19,1376933,279
2024,Wildfire,1,250,0
2025,Drought,3,9850000,0
2025,Flood,34,2805915,2243
2025,Storm,19,2304915,341
2025,Wildfire,1,4180,0
